Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
44536908,"A Woman of No Importance: The Untold Story of Virginia Hall, WWII’s Most Dangerous Spy",Sonia Purnell,"Purnell, Sonia",,"=""0349010188""","=""9780349010182""",0,4.10,Virago,Hardcover,416,2019,2019,,2021/01/23,to-read,to-read (#371),to-read,,,,0,,,0,,,,,
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",0,4.33,Tor Books,Hardcover,448,2020,2020,,2021/01/19,to-read,to-read (#370),to-read,,,,0,,,0,,,,,
25740224,Body Time,Gabriela Alemán,"Alemán, Gabriela",,"=""""","=""9789942117038""",0,4.20,Editorial Euterpe,Paperback,,2003,2003,,2021/01/19,to-read,to-read (#369),to-read,,,,0,,,0,,,,,
22845851,Álbum de familia,Gabriela Alemán,"Alemán, Gabriela",,"=""""","=""9786124579653""",0,3.76,Estruendomudo,Paperback,96,2010,2010,,2021/01/19,to-read,to-read (#368),to-read,,,,0,,,0,,,,,
24934579,La muerte silba un blues,Gabriela Alemán,"Alemán, Gabriela",,"=""""","=""""",0,3.68,LITERATURA RANDOM HOUSE,Kindle Edition,118,2014,2014,,2021/01/19,to-read,to-read (#367),to-read,,,,0,,,0,,,,,
34619168,Humo,Gabriela Alemán,"Alemán, Gabriela",,"=""""","=""""",0,3.59,Random House,Kindle Edition,201,2017,2017,,2021/01/19,to-read,to-read (#366),to-read,,,,0,,,0,,,,,
5588514,Poso Wells,Gabriela Alemán,"Alemán, Gabriela",,"=""""","=""9789978161081""",0,3.56,Eskeletra Editorial,Paperback,293,2007,2007,,2021/01/19,to-read,to-read (#365),to-read,,,,0,,,0,,,,,
52129515,Untamed,Glennon Doyle,"Doyle, Glennon",Glennon Doyle Melton,"=""1984801252""","=""9781984801258""",0,4.06,The Dial Press,Hardcover,333,2020,2020,,2021/01/18,to-read,to-read (#364),to-read,,,,0,,,0,,,,,
50607466,The Henna Artist,Alka Joshi,"Joshi, Alka",,"=""0778310205""","=""9780778310204""",0,4.23,Mira Books,Paperback,384,2020,2020,,2021/01/18,to-read,to-read (#363),to-read,,,,0,,,0,,,,,
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",0,4.09,Penguin Press,Hardcover,338,2017,2017,,2021/01/18,to-read,to-read (#362),to-read,,,,0,,,0,,,,,
